ID,Music Artist,Genre,Tracks
041qy1re1eFikM8qMzVq5X,Gunstein Draugedalen,[],"[Ja, Engang Mine Øyne, Kan Du'kje Frelsa All Verda, Dine Løfter Er Mange, Hjemme I Himlen, Ikke En Spurv Til Jorden, Doggdropen]"
0aIwwbYNoYsDGb8xrps9tg,Guns Out At Sundown,[],"[What's Left Inside, Chase the Meaning, What's Left Inside, Live by the Sword, Desperate Times Call for Desperate Women, War in My Mind, Mountain Blood, Eulogy, Ruiner, Heart Be Still, Desperate Times Call for Desperate Women, Heart of Gold, The Roof, The River, Or The Revolver]"
0cYITe6lCMZn8b4mRkHcXV,Guns of Nevada,[],[God Damn Woman]
0jLXemL9yMged1sSlFeQal,Guns of the Seneca,[],"[Tell Them About the Frequencies (We've Found), Sensory Distortions, Sparse]"
0mKVQVQvHXyQWIYtKGaZJQ,Gunshae,[],"[The Sky Is A Gateway, Not A Ceiling, Shores of Nube, Sudden Deities, I Fought the Moon]"
0Y72hTfFtCQVuFrtSF2H8f,GUNSTRUCK,[],[I Never Fail]
0WGEiCir6zXztGnkdqdmmA,Gunston,[],"[Rockers, Reach My Soul - 160 edit, Palm Hill, Bounds Of A Decade, Thing Changes - Zero T Remix, Thing Changes, Transition, Elegy, Ruffled - Original mix, In The Filth Of The Night - Original Mix, Universe, Transition]"
1cUsIbetAn58R8R5fs7F4O,Gunslinger,[],"[Dreamcatcher - Interpulse Remix, Requiem, Dreamcatcher - GMS Remix, Monster - Gunslinger VS Blare Remix, Grid, Dreamcatcher - Original Mix, Replicant, Deep - Original Mix, Taking Back Time, Dreamcatcher - GMS Remix, Roadhouse, Air Raid, Dreamcatcher - Interpulse Remix, Dreamcatcher - Khurt Remix, Run-Around - Gunslinger Remix, All of Your Life, Bomba Clap - Original Mix, Mystic, Mental Noise, Dreamcatcher - Khurt Remix, Journeyman, Mental Noise, Jail Break - Original Mix, When the Machines Blare, Karma, Deep]"
1OcV2BjOS4E89jiIoavWka,Guns Up!,[],"[Spitting Words, Break Yourself / Least of My Worries, No Shelter, Foolin' Who, Outlive, On Your Way Out, No Shelter, Test My Will, How It's Done, All In, (A Means), Foolin Who, Frozen, You Break, On Your Way Out, Losing Sight, Spitting Words, Losing Sight, FYS, Face It, You Break, How It's Done, Outlive, You Break, All In, Face It, Losing Sight, Test My Will, Test My Will, To An End, Won't Change for Me, Face It, Foolin Who, Break Yourself / Least Of My Worries, Frozen, (A Means), All In, Won't Change For Me, Frozen, Life's Ill, Spitting Words, (A Means), On Your Way Out, No Shelter, To an End, You Break, Won't Change For Me, Life's Ill, Life's Ill, Outlive, Face It, To an End, Won't Change for Me, How It's Done, More Than You, Break Yourself/Least Of My Worries]"
22qynacaVX8ZxSwS2uTJkX,Gunslingers,[],"[Dagros, Dravlekokaren, Eg Vil Alltid Ve Mann, Rett på sak, Ungdomsblod, Frøken, Hiakktreff På Osterøy, Før Du Visste Ordet, Frøken, Dar eg kjem frå, Verden uten, viagra,biff og bernaise, Trollmor, Dasslokket, Ungdomsblod, Tequilasjefen, Hiakktreff på Osterøy, Eg vil alltid ve mann, Gammal og sleten, Made in Norway, Helg, Hardanger, Global oppvarming, Vår song, Koffor Kan Ikkje Eg, Garasjefest, Fri Å Frank, Familietrøbbel, Russelåten, Slappav i hagen, Blandt dei på golvet, Dar kjem dampen, Galen etter deg, Seljord, Dar kjem dampen, Du sa, Dar eg kjem frå, Ein skål te, 32-18, Viagra, Biff og Bernaisesaus, Vestlandssommar, Hashtag, Fri å frank, Dasslokket, Koffor kan ikkje eg, Ein skål te, Dar Kjem Dampen, Eg vil, Ein skål te, 32-18, Familietrøbbel, Vart ikkje slek ho hadde tenkt, Frøken, Realdoll, Alan På Kaffi, Match dot com, Return Of The Gunslinger, Styrhuset var tomt, Blandt Dei På Golvet, Du å eg, Seljord, Grøftfyll AS, Dyraste damå i bygdå, Da blir alldri oss, Sko Ha Gjort Noke, Captain Morgan, Sofabonde, Kjempa mot tidå, Tequilasjefen2, Fiska Laks, Den rette, Russiangirls Dot Com, Tutla Heimatt, Natta synge ein song, Hiakktreff på Osterøy, Venneforespørsel, Match dot com, Koffor sa eg gå, Captain Morgan, Dans med meg, Ein Skål Te, Made in Norway, Ford Escort, Sofabonde, Natta Synge Ein Song, Tutla heimatt, Da var du, Vart ikke slek ho hadde tenkt, Realdoll, O Holy Night, Du Å Eg, Frøken, Uten sko og jakka, S.A.T.S, Russiangirls Dot Com, Grøftfyll AS, Garasjefest, Viagra, Biff og Bernais, Styrhuset var tomt, Viagra,biff og Bernaise, Hiakktreff på osterøy, Alan på kaffi, S.A.T.S, Før du visste ordet, Ullared, Sofabonde, Teke oss eit glas, Sommar, Du Sa, Kjempa Mot Tidå, Koffor sa eg gå, Dar kjem dampen, Dyraste Damå I Bygda, Sofabonde, Ford Escort]"
1WKA1js0mLjOLjsPmDlm5R,Guns,[],[Highway To Hell]
298LIW3BgqnKM8t9qCikhI,Gunsmoke,[],"[Big Tom, The Trial, Old Gunfighter, The Badge, The Wolfer, Renegade White, Buffalo Killers, Meshougah, Carmen, The Brothers, Emma's Departure, Tara, The Jayhawkers, Unwanted Deputy, Nothing Left to Say, Chester's Mistake, The Round-up, Old Beller, The Boughton Bride, Cyclone, Overland Express, Ambition, Billy the Kid Starring William Conrad, The Bobsy Twins, Laurie's Suitor, Fall Semester, Johnny Red, Gentlemen's Disagreement, Hinka-Do, Bum's Rush, Trojan War, The Old Lady, Hinka Do, The Buffalo Hunter, Cavalcade, Ball Nine, Take Your Base, Bullets Got No Names (feat. Gun Smoke, Woodgrane, Leak & Alexis), The Boots, Gonif, Word of Honor, Personal Justice, We Built This, Westbound, The Square Triangle, Lochinvar, Tacetta, The Deserter, Highway Patrol, Jalsicoe Pete, Matt's Decision, Body Snatch, Paid Killer, Dead West, Wear It Out, The Square Triangle, Pokey Pete, The Kentucky Tolmans, Big Chugg Wilson, Dowager's Visit, Cavalcade, Mavis McCloud, Pussy Cats, Jailbait Janet, The Gambler, Groat's Grudge, Scared Boy, Ma Hawkins, Paid Killer, The Reed Survives, Ben Thompson's Saloon, Kangaroo Court, Dirty South Plugs, Doc Holliday, Print Asper, Friend's Payoff, Mel Tillis Medley, Never Pester Chester, Fingured, The Mortgage, Absalom, Quarter Horse, The Mortage, The Lynching, The Big Con, Hard Lesson, Wagon Show, Post Martin, Gentleman's Disagreement, Gangsta Kid, Kitty's Quandary, Shakespeare, Gangsta Kid, Kitty, Westbound, Walking the Floor over You, Trapper's Revenge, Carmen, The Coward, Third Son, Sundown, The Cabin, Drop Dead, Kitty's Kidnap, Pucket's New Year, Incident at Indian Ford, Don Mateo, Beeker's Barn, Cain, I Don't Know, Shooting Stopover, Doc's Indians, Sarah's Search, All My Ex's Live In Texas, Second Arrest, Leave Me Be, The Juniper Tree, Home Surgery, Waltz Across Texas]"
2d3X3m52l5ymvArKQJH5a8,GNRL,[],[Cabriolet]
2Om2j4cMIySCvHzsNarzCZ,Guns n' Wankers,[],"[Help, Sunstroke, Help, Nervous, Skin Deep, Raise Your Glass, Raise Your Glass, Skin Deep, Skin Deep, Help, Nervous, Blown Away, Nervous, Surprise, Blah, Blah, Blah, Surprise, Sunstroke, Raise Your Glass, Blah, Blah, Blah, Blah, Blah, Blah]"
2uPSSDvKhYt7ZAJRgQVVO2,Guns n Butter,[],"[She Likes, Ghetto Anthem, Get Cha Mind Right, Keep Smoking, Post-Apocalyptic Rap, Family First, BBW (Big Butts & Weed), At Night, Intro Skit, Here We Are Now, I Wont Die, I Don't Wonna Be, Skit]"
2P9PDySE4shT0WlpKJvMW6,Gunslinger Jones,[],[Blue Magic - Original Mix]
