Artist,Genre
The Beatles,Rock / pop
Elvis Presley,Rock and roll / pop / country
Michael Jackson,Pop / rock / dance / soul / R&B
Elton John,Pop / rock
Queen,Rock
Madonna,Pop / dance / electronica
Led Zeppelin,Hard rock / blues rock / folk rock
Rihanna,R&B / pop / dance / hip-hop
Pink Floyd,Progressive rock / psychedelic rock
Eminem,Hip-hop
Mariah Carey,R&B / pop / soul / hip-hop
Taylor Swift,Pop / country / rock / folk / alternative
Beyoncé,R&B / pop
Whitney Houston,R&B / soul / pop / gospel
Eagles,Rock
Celine Dion,Pop / Rock
AC/DC,Hard rock / blues rock / rock and roll
The Rolling Stones,Rock / blues rock
Drake,Hip-hop / R&B / pop
Garth Brooks,Country
Kanye West,Hip-hop / electronic / pop
Billy Joel,Pop / rock
Justin Bieber,Pop / teen pop / dance pop
Ed Sheeran,Pop / folk pop
Bruno Mars,Pop rock / R&B
Bruce Springsteen,Rock
U2,Rock
Aerosmith,Hard rock
Phil Collins,Rock / progressive rock / adult contemporary
Barbra Streisand,Pop / adult contemporary
ABBA,Pop / disco
Frank Sinatra,Pop / swing / easy listening
Katy Perry,Pop
Chris Brown,Pop / R&B / hip-hop
Jay-Z,Hip-hop
Metallica,Heavy metal / thrash metal
Lady Gaga,Pop / dance / electronic
Lil Wayne,Hip-hop
Maroon 5,Pop rock / funk rock / dance-pop
Adele,Pop / soul
Red Hot Chili Peppers,Funk rock / alternative rock
Fleetwood Mac,Rock / pop
Bon Jovi,Hard rock / glam metal
Rod Stewart,Rock / pop
Bee Gees,Pop / disco
Nicki Minaj,Hip-hop / pop
Coldplay,Alternative rock / pop rock / pop
Linkin Park,Alternative rock / nu metal / rap rock
George Strait,Country
Pink,Pop / pop rock / R&B
Britney Spears,Pop / dance / dance-pop
B'z,Rock / pop rock / hard rock
Shania Twain,Country pop
Guns N' Roses,Hard rock / heavy metal
Backstreet Boys,Pop
Eric Clapton,Rock / blues
Neil Diamond,Pop / rock
Prince,Funk / R&B / pop / soul / rock
Journey,Rock / soft rock
Paul McCartney,Rock
Janet Jackson,R&B / pop
Kenny Rogers,Country / pop
Santana,Rock
Simon & Garfunkel,Folk rock
George Michael,Pop
Julio Iglesias,Latin
Dire Straits,Rock
The Doors,Psychedelic rock
Foreigner,Rock / hard rock
Chicago,Rock / pop
Bob Dylan,Folk / rock
The Carpenters,Pop
Meat Loaf,Rock / hard rock
"Earth, Wind & Fire",Funk / R&B / soul
Cher,Pop / rock / dance / folk
Def Leppard,Hard rock / heavy metal
Genesis,Progressive rock / pop rock
David Bowie,Art rock / glam rock / pop
Stevie Wonder,Funk / R&B / soul
James Taylor,Rock / pop
Tina Turner,Rock / pop
Olivia Newton-John,Pop
Linda Ronstadt,Rock / folk / country
The Beach Boys,Rock / pop / surf rock
Donna Summer,Pop / disco / R&B
Alicia Keys,Hip-hop / R&B / pop
Christina Aguilera,R&B / pop / rock
Lionel Richie,Pop / R&B
Johnny Cash,Country / rock and roll / gospel
Justin Timberlake,Pop / R&B / neo soul
Ariana Grande,Pop / R&B
R.E.M.,Alternative rock
Post Malone,Pop / R&B / hip-hop
Flo Rida,Hip-hop / hip house /EDM
Usher,R&B / pop
Shakira,Latin pop / pop / pop rock
Tim McGraw,Country
The Black Eyed Peas,Hip-hop / R&B / dance
Van Halen,Hard rock / heavy metal
Ayumi Hamasaki,J-pop / pop / dance / electronic
Tom Petty,Rock
Johnny Hallyday,Rock / pop
The Weeknd,Pop / R&B
Imagine Dragons,Pop rock / electropop / pop
Luke Bryan,Country / country pop
Tupac Shakur,Hip-hop
Alabama,Country / pop rock
R. Kelly,R&B / soul / hip-hop
Nirvana,Grunge / alternative rock
Robbie Williams,Pop rock
Bob Seger,Rock / Hard rock/ Pop rock
Kenny G,Smooth jazz
Green Day,Punk rock / pop punk / alternative rock
Enya,New-age / Celtic
Bryan Adams,Rock
Bob Marley,Reggae
The Police,Pop / rock
Gloria Estefan,Latin pop / dance pop
Barry Manilow,Pop / soft rock
Kiss,Hard rock / heavy metal
Aretha Franklin,Soul / jazz / blues / R&B
