track_id,track_name,track_duration,track_popularity,track_explicit,track_preview_url,track_uri,track_index,album_id,album_name,album_uri,artist_name,artist_uri,artist_id
1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remastered Version,121160,74.0,0,https://p.scdn.co/mp3-preview/183c0855e94b58dcb267e2b0721d4a3c99260acf?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,1,7HvIrSkKGJCzd8AKyjTJ6Q,Blur [Special Edition],spotify:album:7HvIrSkKGJCzd8AKyjTJ6Q,Blur,spotify:artist:7MhMgCo0Bl0Kukl93PZbYS,7MhMgCo0Bl0Kukl93PZbYS
6mcxQ1Y3uQRU0IHsvdNLH1,Where Is My Mind?,236973,70.0,0,https://p.scdn.co/mp3-preview/5ecbfac4d7b32924d4851b8e50d6d725e25c1c8c?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:6mcxQ1Y3uQRU0IHsvdNLH1,2,2l7RPWC3E6eStJJLBsUeCI,Surfer Rosa (Remastered),spotify:album:2l7RPWC3E6eStJJLBsUeCI,Pixies,spotify:artist:6zvul52xwTWzilBZl6BUbT,6zvul52xwTWzilBZl6BUbT
3J28CGmR9cnA1jW6TNACkh,I Do What I Want (Capablanca vs Moscoman Version),353786,2.0,0,https://p.scdn.co/mp3-preview/56ace2fcd724ec2dbe7101e6e8ceae9e102416a2?cid=17082d21fb854b7a949131af8dd6a181,spotify:track:3J28CGmR9cnA1jW6TNACkh,1,1YqsJO3NzjKBI0OLpNQgf0,I Do What I Want - EP,spotify:album:1YqsJO3NzjKBI0OLpNQgf0,Tristesse Contemporaine,spotify:artist:7p2tK3ousYPinaQMX5I2lW,7p2tK3ousYPinaQMX5I2lW
4FxXW5X7Ab3ZHhwtGj6ym6,Six Days - Remix,232000,52.0,0,,spotify:track:4FxXW5X7Ab3ZHhwtGj6ym6,2,49283KdkF2yjiZ4ySp4dGX,The Fast And The Furious Soundtrack Collection,spotify:album:49283KdkF2yjiZ4ySp4dGX,Mos Def,spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO,0Mz5XE0kb1GBnbLQm2VbcO
4FxXW5X7Ab3ZHhwtGj6ym6,Six Days - Remix,232000,52.0,0,,spotify:track:4FxXW5X7Ab3ZHhwtGj6ym6,2,49283KdkF2yjiZ4ySp4dGX,The Fast And The Furious Soundtrack Collection,spotify:album:49283KdkF2yjiZ4ySp4dGX,DJ Shadow,spotify:artist:5CE2IfdYZEQGIDsfiRm8SI,5CE2IfdYZEQGIDsfiRm8SI
416MsJxvxSKY96DCmbJIRs,The Hanging Tree,218506,60.0,0,,spotify:track:416MsJxvxSKY96DCmbJIRs,1,44qAUS0siEj2plisdS25xw,The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Score),spotify:album:44qAUS0siEj2plisdS25xw,James Newton Howard,spotify:artist:2M4eNCvV3CJUswavkhAQg2,2M4eNCvV3CJUswavkhAQg2
416MsJxvxSKY96DCmbJIRs,The Hanging Tree,218506,60.0,0,,spotify:track:416MsJxvxSKY96DCmbJIRs,1,44qAUS0siEj2plisdS25xw,The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Score),spotify:album:44qAUS0siEj2plisdS25xw,Jennifer Lawrence,spotify:artist:3oCIYpmkFw8KGWwMNPKgXh,3oCIYpmkFw8KGWwMNPKgXh
4rvD0Pq9MEoDyyoCGPm7zS,The Hanging Tree - Rebel Remix,147786,51.0,0,,spotify:track:4rvD0Pq9MEoDyyoCGPm7zS,2,7Bl4Wx2IOOT7QLfiPUQCDz,The Hanging Tree [(Rebel Remix) From The Hunger Games: Mockingjay Part 1],spotify:album:7Bl4Wx2IOOT7QLfiPUQCDz,James Newton Howard,spotify:artist:2M4eNCvV3CJUswavkhAQg2,2M4eNCvV3CJUswavkhAQg2
4rvD0Pq9MEoDyyoCGPm7zS,The Hanging Tree - Rebel Remix,147786,51.0,0,,spotify:track:4rvD0Pq9MEoDyyoCGPm7zS,2,7Bl4Wx2IOOT7QLfiPUQCDz,The Hanging Tree [(Rebel Remix) From The Hunger Games: Mockingjay Part 1],spotify:album:7Bl4Wx2IOOT7QLfiPUQCDz,Jennifer Lawrence,spotify:artist:3oCIYpmkFw8KGWwMNPKgXh,3oCIYpmkFw8KGWwMNPKgXh
51CWs8Gipl0UqDGNA5xekm,DOWNPOUR,234259,57.0,0,https://p.scdn.co/mp3-preview/b85d8083c8d2338fa2b7910bae9769de604e5f30?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:51CWs8Gipl0UqDGNA5xekm,1,4z9MmGwmGbQsOK90UQhV8p,DOWNPOUR,spotify:album:4z9MmGwmGbQsOK90UQhV8p,I.O.I,spotify:artist:6RKnXXyprPjhBdCvL802Ku,6RKnXXyprPjhBdCvL802Ku
